HSCHOOL,AC_YEAR,AC_GRADE,Linear Algebra,Calculus I,Basic Mechanics,Chemistry I,Fundamentals of Informatics,Geometry,Calculus II,Basic Thermodynamics,Chemistry II,Engineering Drawing,MEAN,STD,PASSED,FAILED,NUM_SUBJ,Maths,Physics,Chemistry,Informatics,MEAN_CRED,ENROL_ECTS,PASS_ECTS,ALPHA,RANK_MEAN,NUM_STUD,RANKING
SANT IGNASI- SARRIÀ,2011,10.355,5.68,6.065,5.05,4.87,5.905,5.8,6.34,5.644,6.684,6.517,5.794,1.285,7.6,2.05,9.65,5.988,5.268,5.652,5.965,6.005,71.475,54.525,0.817,5.143,20,96
SANT IGNASI- SARRIÀ,2012,11.36,6.383,6.233,5.35,5.242,4.267,4.925,5.142,6.0,5.467,5.433,5.444,1.423,7.583,2.417,10.0,5.671,5.675,5.354,4.85,6.166,77.125,60.0,0.81,5.048,12,80
SANT IGNASI- SARRIÀ,2013,10.64,5.118,5.064,5.718,6.245,5.5,5.509,5.809,5.355,5.655,4.6,5.457,1.249,7.364,2.636,10.0,5.375,5.536,5.95,5.05,6.06,78.409,60.0,0.806,4.928,11,86
SANT IGNASI- SARRIÀ,2014,10.793,4.508,5.215,5.077,5.708,5.308,4.869,4.838,5.262,6.215,4.585,5.158,1.395,7.077,2.923,10.0,4.858,5.169,5.962,4.946,6.032,78.346,60.0,0.781,4.734,13,88
SANT IGNASI- SARRIÀ,2015,10.867,5.513,5.107,4.293,4.8,2.947,4.183,3.707,4.667,5.375,3.986,4.304,1.797,5.133,4.133,9.267,4.534,4.267,4.69,3.4,4.506,64.2,35.0,0.53,2.708,15,127
INST.ICÀRIA,2010,10.367,3.85,5.5,5.05,5.65,1.6,5.3,4.8,3.85,3.45,5.6,4.465,1.67,5.5,4.5,10.0,4.862,4.45,4.55,3.6,5.42,100.5,48.0,0.556,3.202,2,159
INST.ICÀRIA,2011,10.614,6.3,7.1,5.0,7.1,7.1,6.1,8.2,6.2,6.8,7.5,6.74,0.88,10.0,0.0,10.0,6.925,5.6,6.95,7.3,6.758,60.0,60.0,1.0,6.758,1,25
INST.ICÀRIA,2012,11.429,5.383,5.55,5.767,6.017,7.117,4.367,4.1,3.7,5.217,4.483,5.17,1.467,7.0,3.0,10.0,4.85,4.733,5.617,5.8,5.565,72.25,51.75,0.741,4.299,6,127
INST.ICÀRIA,2013,11.423,4.333,6.6,5.9,6.767,4.567,5.6,3.267,4.533,5.833,4.933,5.233,1.553,5.0,5.0,10.0,4.95,5.217,6.3,4.75,6.698,92.5,56.0,0.672,4.854,3,92
INST.ICÀRIA,2015,10.896,6.5,5.15,5.375,6.5,6.275,5.025,4.675,5.0,7.15,5.65,5.73,1.262,7.5,2.5,10.0,5.338,5.188,6.825,5.962,5.81,63.0,48.0,0.775,4.641,4,55
ESCOLA PIA DE NOSTRA SENYORA,2010,10.837,5.875,5.275,4.95,6.025,2.2,5.7,6.475,5.675,5.6,5.825,5.36,1.522,8.25,1.75,10.0,5.831,5.312,5.812,4.012,6.01,76.5,60.0,0.802,4.856,4,88
ESCOLA PIA DE NOSTRA SENYORA,2011,10.464,5.567,5.667,5.367,3.2,6.667,6.133,4.533,3.7,5.933,5.4,5.217,1.553,7.333,2.667,10.0,5.475,4.533,4.567,6.033,5.945,75.5,60.0,0.802,4.764,3,115
ESCOLA PIA DE NOSTRA SENYORA,2012,11.514,6.0,6.8,6.55,7.0,7.45,5.45,4.75,4.75,6.85,6.85,6.245,1.185,9.0,1.0,10.0,5.75,5.65,6.925,7.15,6.46,66.0,60.0,0.916,5.958,2,39
ESCOLA PIA DE NOSTRA SENYORA,2013,10.799,4.2,4.3,3.85,4.4,4.2,4.2,5.85,5.65,5.75,5.5,4.79,1.65,6.5,3.5,10.0,4.638,4.75,5.075,4.85,5.719,87.0,54.0,0.676,3.935,2,143
LA SALLE HORTA,2010,10.65,5.85,6.15,5.0,5.45,3.7,6.7,6.6,5.15,6.75,6.8,5.815,1.325,9.0,1.0,10.0,6.325,5.075,6.1,5.25,6.186,69.0,60.0,0.885,5.515,2,56
INST.BAIX MONTSENY,2010,11.775,7.7,6.95,7.3,7.6,7.8,6.5,7.35,7.15,7.8,7.85,7.4,0.67,10.0,0.0,10.0,7.125,7.225,7.7,7.825,7.401,60.0,60.0,1.0,7.401,2,5
INST.BAIX MONTSENY,2014,9.828,5.3,2.6,4.6,2.3,3.4,4.5,2.8,5.0,5.1,7.9,4.35,1.67,4.0,6.0,10.0,3.8,4.8,3.7,5.65,5.81,96.0,60.0,0.625,3.631,1,128
XALOC,2010,10.798,4.72,5.38,4.42,4.8,4.86,4.7,4.46,3.575,4.35,4.1,4.502,1.378,6.4,3.2,9.6,4.815,3.7,4.14,4.48,5.106,78.9,50.4,0.685,3.702,5,146
XALOC,2011,11.033,6.267,6.767,6.833,6.767,8.233,6.567,7.433,6.367,6.833,8.633,7.07,0.987,9.333,0.667,10.0,6.758,6.6,6.8,8.433,7.195,64.0,60.0,0.944,6.873,3,22
XALOC,2012,11.56,6.1,6.1,5.4,6.5,6.0,6.0,5.0,6.1,5.8,5.1,5.81,0.49,10.0,0.0,10.0,5.8,5.75,6.15,5.55,5.793,60.0,60.0,1.0,5.793,1,49
XALOC,2013,10.348,5.3,5.0,5.9,6.5,3.2,4.0,3.6,4.2,6.0,5.2,4.89,1.1,6.0,4.0,10.0,4.475,5.05,6.25,4.2,5.75,84.0,60.0,0.714,4.107,1,130
XALOC,2015,10.819,5.6,4.35,5.35,3.6,4.8,1.85,5.0,5.0,3.8,5.45,4.285,1.64,5.5,3.5,9.0,4.012,4.925,3.7,5.125,4.416,60.0,39.75,0.662,3.189,2,111
MARISTES LES CORTS,2010,10.764,5.025,5.775,5.325,5.95,2.75,3.95,3.5,1.9,5.1,4.025,4.33,1.64,5.5,4.5,10.0,4.562,3.612,5.525,3.388,5.491,103.875,52.5,0.628,3.634,4,149
MARISTES LES CORTS,2011,11.382,9.0,6.0,5.0,6.1,6.2,5.0,4.2,5.7,5.0,2.0,5.42,1.76,8.0,2.0,10.0,6.05,5.35,5.55,4.1,5.813,73.5,60.0,0.816,4.745,1,117
MARISTES LES CORTS,2012,10.908,3.3,5.2,3.9,5.2,7.8,7.8,4.5,7.4,6.1,6.2,5.74,1.6,7.0,3.0,10.0,5.2,5.65,5.65,7.0,6.522,78.0,60.0,0.769,5.017,1,84
MARISTES LES CORTS,2013,10.95,5.2,5.0,6.5,7.2,7.2,3.5,2.5,5.0,5.5,5.2,5.28,1.49,8.0,2.0,10.0,4.05,5.75,6.35,6.2,6.082,72.0,60.0,0.833,5.069,1,82
MARISTES LES CORTS,2014,12.771,7.7,7.4,6.85,9.75,8.5,6.1,5.9,6.45,6.3,5.45,7.04,1.49,9.5,0.5,10.0,6.775,6.65,8.025,6.975,7.238,63.75,60.0,0.944,6.836,2,18
MARISTES LES CORTS,2015,11.288,6.6,5.0,2.65,4.05,2.5,4.3,5.0,4.4,,6.4,4.365,1.69,3.0,4.5,7.5,5.162,3.525,4.05,3.75,4.255,60.75,33.75,0.548,2.402,2,140
INST.SANT RAMON,2010,10.941,5.3,5.75,3.65,6.05,7.5,4.7,4.25,1.8,4.25,5.3,4.855,1.86,6.5,3.5,10.0,5.0,2.725,5.15,6.4,6.032,83.25,60.0,0.724,4.368,2,113
CANIGÓ,2010,11.734,6.4,6.5,6.0,6.5,3.8,6.6,6.8,5.05,6.2,3.55,5.74,1.49,8.0,2.0,10.0,6.575,5.525,6.35,3.675,6.406,75.0,60.0,0.834,5.501,2,57
CANIGÓ,2011,11.096,5.957,6.529,4.829,5.257,4.271,5.629,6.857,4.929,5.529,5.586,5.537,1.481,8.143,1.857,10.0,6.243,4.879,5.393,4.929,6.074,71.571,60.0,0.856,5.232,7,91
CANIGÓ,2012,11.674,7.45,6.65,5.6,5.65,6.55,6.7,6.5,7.2,7.5,5.65,6.545,0.9,10.0,0.0,10.0,6.825,6.4,6.575,6.1,6.499,60.0,60.0,1.0,6.499,2,21
CANIGÓ,2013,11.97,5.825,5.95,6.9,7.175,5.9,6.4,5.75,4.125,4.825,5.2,5.805,1.308,8.0,2.0,10.0,5.981,5.512,6.0,5.55,6.381,73.125,60.0,0.852,5.499,4,64
CANIGÓ,2014,12.416,6.15,6.65,6.3,7.15,8.35,5.775,5.0,6.5,7.425,6.2,6.55,1.21,9.25,0.75,10.0,5.894,6.4,7.288,7.275,6.778,64.875,60.0,0.939,6.378,4,31
CANIGÓ,2015,11.806,5.5,6.767,5.133,6.8,3.067,4.233,5.233,4.2,5.133,3.567,4.963,1.643,6.667,3.333,10.0,5.433,4.667,5.967,3.317,5.208,68.0,43.5,0.647,3.553,3,96
"BADALONÈS, COL.LEGI",2010,11.257,5.683,4.85,6.2,6.3,5.067,3.933,4.367,5.017,6.333,4.867,5.262,1.343,7.167,2.833,10.0,4.708,5.608,6.317,4.967,6.125,83.25,60.0,0.79,4.856,6,88
"BADALONÈS, COL.LEGI",2011,11.87,6.3,5.8,7.3,7.3,7.7,6.1,5.0,5.8,6.4,8.8,6.65,1.12,10.0,0.0,10.0,5.8,6.55,6.85,8.25,6.71,60.0,60.0,1.0,6.71,1,27
"BADALONÈS, COL.LEGI",2012,11.839,6.85,5.1,5.55,5.8,5.65,5.4,5.15,5.2,5.95,5.25,5.59,0.97,8.5,1.5,10.0,5.625,5.375,5.875,5.45,6.064,71.25,60.0,0.863,5.282,2,72
"BADALONÈS, COL.LEGI",2013,11.472,6.633,5.167,6.567,7.933,6.6,4.6,5.167,4.8,5.433,5.3,5.82,1.423,8.0,2.0,10.0,5.392,5.683,6.683,5.95,6.432,76.0,60.0,0.852,5.535,3,63
"BADALONÈS, COL.LEGI",2014,10.533,5.267,3.667,5.133,5.8,4.733,2.567,1.867,2.3,5.1,5.467,4.19,1.77,4.667,5.333,10.0,3.342,3.717,5.45,5.1,6.041,101.5,60.0,0.603,3.632,3,127
"BADALONÈS, COL.LEGI",2015,12.47,6.85,4.7,5.35,8.5,9.2,5.5,5.3,5.55,6.15,6.35,6.345,1.6,9.5,0.5,10.0,5.588,5.45,7.325,7.775,6.575,63.0,60.0,0.954,6.278,2,26
SAGRADA FAMÍLIA - ARQUIMIDES,2010,10.4,3.967,3.233,5.8,5.8,4.067,5.8,1.733,2.467,4.833,5.6,4.33,1.67,5.0,5.0,10.0,3.683,4.133,5.317,4.833,5.931,95.0,60.0,0.658,3.928,3,136
SAGRADA FAMÍLIA - ARQUIMIDES,2011,11.066,5.15,5.1,4.35,5.5,4.8,4.65,2.75,3.0,5.55,1.8,4.265,1.67,4.5,5.5,10.0,4.412,3.675,5.525,3.3,4.914,93.75,39.0,0.439,2.48,2,156
SAGRADA FAMÍLIA - ARQUIMIDES,2012,11.396,3.3,2.9,5.0,5.9,5.0,4.6,6.7,4.2,7.3,3.8,4.87,1.43,5.0,5.0,10.0,4.375,4.6,6.6,4.4,6.188,103.5,60.0,0.58,3.587,1,163
SAGRADA FAMÍLIA - ARQUIMIDES,2013,11.463,2.85,4.65,5.2,5.85,5.05,5.4,4.5,2.35,5.0,5.6,4.645,1.28,6.5,3.5,10.0,4.35,3.775,5.425,5.325,5.5,83.25,60.0,0.724,3.988,2,137
SAGRADA FAMÍLIA - ARQUIMIDES,2014,10.209,5.833,4.067,5.033,5.933,5.8,4.667,4.767,4.133,5.5,5.5,5.123,1.103,7.333,2.667,10.0,4.833,4.583,5.717,5.65,5.633,82.0,60.0,0.781,4.407,3,100
SAGRADA FAMÍLIA - ARQUIMIDES,2015,9.782,5.5,2.6,2.05,3.3,2.2,2.05,0.9,,4.05,,3.01,1.615,1.5,6.0,7.5,3.066,2.05,3.675,2.2,2.099,49.5,9.0,0.186,0.42,2,194
VIARÓ,2010,11.151,5.267,5.822,5.856,5.889,3.044,4.344,5.875,3.244,5.878,3.489,4.839,1.811,6.556,3.333,9.889,5.252,4.55,5.883,3.267,5.502,85.667,51.167,0.664,4.013,9,129
VIARÓ,2011,10.704,5.9,6.4,5.588,5.162,5.262,5.812,6.325,5.188,6.038,5.512,5.719,1.274,8.375,1.625,10.0,6.109,5.388,5.6,5.388,6.22,75.0,60.0,0.847,5.323,8,86
VIARÓ,2012,11.759,5.167,6.067,5.967,5.86,6.1,5.18,4.983,5.88,5.74,5.517,5.573,0.99,7.833,1.5,9.333,5.278,5.85,5.8,5.808,5.598,65.25,55.25,0.87,4.912,6,88
VIARÓ,2013,12.136,5.588,5.15,7.388,6.512,6.238,6.038,5.337,6.075,5.438,5.238,5.9,1.269,8.0,2.0,10.0,5.528,6.731,5.975,5.738,6.366,72.75,60.0,0.861,5.578,8,59
VIARÓ,2014,11.876,5.49,5.52,5.47,5.32,7.04,4.67,3.46,4.97,5.85,5.79,5.358,1.319,7.4,2.6,10.0,4.785,5.22,5.585,6.415,5.734,69.6,52.8,0.77,4.663,10,89
VIARÓ,2015,11.386,6.525,5.45,4.3,5.325,4.425,3.725,4.225,5.1,5.933,4.85,4.885,1.672,5.5,4.0,9.5,4.981,4.425,4.888,4.637,4.915,66.375,36.0,0.559,3.16,4,112
SAGRADA FAMÍLIA-GAVÀ,2010,10.763,4.0,6.067,5.0,5.467,2.467,5.633,4.033,1.3,5.367,4.933,4.427,1.763,5.333,4.667,10.0,4.933,3.15,5.417,3.7,6.335,92.0,60.0,0.675,4.262,3,120
SAGRADA FAMÍLIA-GAVÀ,2011,9.568,4.3,7.0,3.4,2.2,2.3,0.0,2.3,4.4,2.6,2.9,3.14,1.84,1.0,9.0,10.0,3.4,3.9,2.4,2.6,4.682,126.0,31.5,0.25,1.171,1,162
SAGRADA FAMÍLIA-GAVÀ,2012,11.472,6.4,6.05,6.3,6.4,5.1,6.05,5.2,7.85,6.3,6.3,6.195,1.585,9.5,0.5,10.0,5.925,7.075,6.35,5.7,6.47,63.0,60.0,0.954,6.182,2,28
SAGRADA FAMÍLIA-GAVÀ,2014,10.386,5.0,4.3,5.3,4.2,3.8,3.3,0.0,2.8,5.1,1.2,3.5,1.74,3.0,7.0,10.0,3.15,4.05,4.65,2.5,5.528,109.5,60.0,0.548,3.029,1,149
SAGRADA FAMÍLIA-GAVÀ,2015,9.802,2.95,2.35,2.35,2.4,0.55,,,,,,2.12,1.115,0.0,5.0,5.0,2.65,2.35,2.4,0.55,2.165,57.0,15.0,0.261,0.576,2,191
IPSE,2010,11.807,7.867,7.667,7.2,6.8,8.633,6.4,6.067,5.8,6.467,7.467,7.037,1.15,9.667,0.333,10.0,7.0,6.5,6.633,8.05,7.158,62.0,60.0,0.97,6.979,3,15
IPSE,2011,11.485,5.8,6.75,6.3,5.25,5.9,6.8,7.25,6.7,6.7,5.5,6.295,0.83,8.5,1.5,10.0,6.65,6.5,5.975,5.7,6.77,69.0,60.0,0.885,6.008,2,55
IPSE,2014,11.197,7.65,6.95,7.0,7.35,8.55,6.65,5.1,7.5,6.1,5.15,6.8,1.235,10.0,0.0,10.0,6.588,7.25,6.725,6.85,6.776,60.0,60.0,1.0,6.776,2,19
INST.ELS TRES TURONS,2010,11.168,5.3,4.95,5.5,5.45,7.85,5.6,5.15,3.65,4.4,6.35,5.42,1.64,8.0,2.0,10.0,5.25,4.575,4.925,7.1,5.914,74.25,60.0,0.818,4.859,2,87
INST.ELS TRES TURONS,2011,9.996,2.5,2.9,3.4,2.2,2.3,,,,,,2.66,0.49,0.0,5.0,5.0,2.7,3.4,2.2,2.3,1.95,60.0,6.0,0.1,0.195,1,165
INST.ELS TRES TURONS,2014,11.752,7.1,6.0,5.6,7.2,8.2,5.6,5.3,6.5,8.1,9.5,6.91,1.37,10.0,0.0,10.0,6.0,6.05,7.65,8.85,6.945,60.0,60.0,1.0,6.945,1,15
CASA DEL ROURE,2010,11.742,5.675,5.825,6.375,6.45,5.575,5.15,5.933,6.067,6.75,5.95,5.868,1.085,7.25,2.25,9.5,5.536,5.938,6.6,5.762,5.748,67.5,46.875,0.732,4.788,4,91
CASA DEL ROURE,2011,11.489,6.6,7.267,6.533,6.333,6.333,5.833,7.6,5.433,6.6,5.0,6.353,1.193,7.667,2.333,10.0,6.825,5.983,6.467,5.667,6.927,82.0,60.0,0.825,5.871,3,63
CASA DEL ROURE,2012,11.26,4.75,5.55,6.4,4.3,1.9,5.2,4.1,4.7,3.5,2.3,4.27,1.565,5.0,5.0,10.0,4.9,5.55,3.9,2.1,5.72,90.0,60.0,0.667,3.814,2,148
CASA DEL ROURE,2013,9.784,5.0,4.2,5.2,6.6,2.7,5.0,5.0,5.0,4.1,4.3,4.71,1.0,6.0,4.0,10.0,4.8,5.1,5.35,3.5,5.558,84.0,60.0,0.714,3.97,1,139
CASA DEL ROURE,2014,9.364,5.5,6.7,3.1,0.0,0.6,3.5,3.8,4.8,5.0,5.0,3.8,2.12,4.0,6.0,10.0,4.875,3.95,2.5,2.8,4.35,72.0,24.0,0.333,1.45,1,169
SANT JOSEP OBRER,2010,10.968,6.833,7.1,6.7,6.967,6.4,6.7,6.133,5.7,6.2,6.133,6.487,0.967,9.0,1.0,10.0,6.692,6.2,6.583,6.267,6.702,68.0,60.0,0.905,6.136,3,32
SANT JOSEP OBRER,2011,10.55,4.2,5.5,5.7,3.2,5.7,5.8,6.4,2.8,7.4,6.0,5.27,1.44,7.0,3.0,10.0,5.475,4.25,5.3,5.85,6.345,78.0,60.0,0.769,4.881,1,106
SANT JOSEP OBRER,2014,10.296,5.2,5.0,4.1,5.0,7.0,1.2,5.5,6.5,6.8,7.0,5.33,1.76,8.0,2.0,10.0,4.225,5.3,5.9,7.0,5.865,72.0,60.0,0.833,4.887,1,81
INST.MONTJUÏC,2010,12.128,4.0,6.0,5.0,8.0,6.5,6.4,4.3,5.6,7.9,5.0,5.87,1.37,8.0,2.0,10.0,5.175,5.3,7.95,5.75,6.507,72.0,60.0,0.833,5.423,1,63
INST.JAUME BALMES,2010,10.749,6.4,6.2,6.667,6.4,8.067,5.133,4.367,4.867,5.767,6.367,6.023,1.153,9.0,1.0,10.0,5.525,5.767,6.083,7.217,6.302,66.0,60.0,0.923,5.832,3,41
INST.JAUME BALMES,2011,11.408,5.6,6.1,5.6,7.3,7.65,6.35,6.5,5.0,6.55,6.05,6.27,1.07,10.0,0.0,10.0,6.138,5.3,6.925,6.85,6.257,60.0,60.0,1.0,6.257,2,39
INST.JAUME BALMES,2013,12.036,7.3,7.5,7.1,8.0,5.0,6.4,7.6,5.4,6.0,6.5,6.68,0.99,10.0,0.0,10.0,7.2,6.25,7.0,5.75,6.692,60.0,60.0,1.0,6.692,1,30
INST.JAUME BALMES,2015,10.966,5.25,3.9,5.15,4.25,6.9,4.6,6.3,3.15,4.7,7.4,5.08,1.5,5.5,4.0,9.5,4.762,4.15,4.475,7.15,5.138,63.0,39.75,0.626,3.282,2,106
INST.CASTELLBISBAL,2010,11.166,4.4,5.0,5.0,7.4,7.3,5.1,5.0,5.4,5.0,5.0,5.46,1.03,9.0,1.0,10.0,4.875,5.2,6.2,6.15,5.77,66.0,60.0,0.909,5.245,1,72
INST.CASTELLBISBAL,2012,11.149,4.8,4.25,5.0,4.4,4.05,3.0,3.1,3.1,4.4,5.0,4.185,1.225,3.0,5.5,8.5,4.037,4.05,4.45,4.525,4.772,75.0,39.0,0.486,2.572,2,183
ESCOLA PIA DE SARRIA,2010,11.572,6.525,6.875,6.775,6.975,5.65,5.125,5.9,5.85,6.925,5.375,6.198,1.022,8.75,1.25,10.0,6.106,6.312,6.95,5.512,6.502,69.375,60.0,0.881,5.73,4,48
ESCOLA PIA DE SARRIA,2011,10.78,5.3,5.3,5.3,4.0,7.2,5.7,5.0,5.0,5.4,5.2,5.34,0.79,9.0,1.0,10.0,5.325,5.15,4.7,6.2,5.485,66.0,60.0,0.909,4.986,1,101
ESCOLA PIA DE SARRIA,2012,10.549,4.967,4.867,4.667,5.6,1.0,3.667,3.467,3.667,4.967,2.467,3.933,1.89,4.0,6.0,10.0,4.242,4.167,5.283,1.733,5.628,107.5,56.0,0.521,2.958,3,178
ESCOLA PIA DE SARRIA,2013,11.0,4.05,3.05,4.675,6.025,3.525,4.35,3.5,4.5,5.525,6.275,4.548,1.735,5.0,5.0,10.0,3.738,4.587,5.775,4.9,5.868,97.5,60.0,0.631,3.716,4,150
ESCOLA PIA DE SARRIA,2014,10.064,4.033,2.9,3.467,2.9,3.5,2.4,2.25,1.25,4.45,5.6,3.077,1.397,2.0,6.333,8.333,2.975,2.617,3.2,3.617,3.81,91.5,32.0,0.319,1.732,3,167
ESCOLA PIA DE SARRIA,2015,9.81,4.875,2.975,3.975,4.825,5.025,4.05,5.3,3.55,5.0,6.467,4.363,1.638,4.0,4.0,8.0,3.816,3.6,4.612,4.95,4.715,60.0,36.75,0.611,3.209,4,110
ESCOLA PIA SANT ANTONI,2010,10.553,3.5,4.3,4.65,5.5,2.1,3.7,5.4,,4.5,,4.025,1.29,2.5,4.0,6.5,3.912,4.65,5.35,2.1,2.669,44.25,15.0,0.305,0.908,2,173
ESCOLA PIA SANT ANTONI,2011,13.036,7.7,7.5,6.0,6.5,7.7,6.1,5.2,5.3,6.9,5.7,6.46,0.95,10.0,0.0,10.0,6.625,5.65,6.7,6.7,6.43,60.0,60.0,1.0,6.43,1,33
ESCOLA PIA SANT ANTONI,2012,12.632,4.4,6.0,7.2,6.2,10.0,5.4,5.0,5.7,7.8,8.0,6.57,1.68,9.0,1.0,10.0,5.2,6.45,7.0,9.0,6.785,66.0,60.0,0.909,6.168,1,29
ESCOLA PIA SANT ANTONI,2014,12.217,8.65,7.4,8.4,9.6,9.5,8.05,7.75,8.9,9.0,9.0,8.625,0.885,10.0,0.0,10.0,7.962,8.65,9.3,9.25,8.625,60.0,60.0,1.0,8.625,2,3
ESCOLA PIA SANT ANTONI,2015,11.873,4.65,1.5,2.05,5.45,2.75,2.5,1.25,0.65,1.1,0.95,2.285,1.855,2.5,7.5,10.0,2.475,1.35,3.275,1.85,2.282,60.0,15.0,0.25,0.623,2,189
TECLA SALA,2010,11.164,3.925,4.8,4.6,5.35,3.325,4.367,6.6,6.05,6.167,3.15,4.148,1.203,5.25,3.25,8.5,4.171,4.462,5.175,3.238,3.683,64.875,31.5,0.523,3.435,4,153
TECLA SALA,2012,11.037,6.4,5.35,5.3,7.6,7.75,5.4,5.25,3.75,2.15,5.0,5.395,1.99,7.0,3.0,10.0,5.6,4.525,4.875,6.375,5.922,80.25,50.25,0.676,4.107,2,135
TECLA SALA,2013,10.919,3.633,2.567,5.633,5.433,5.7,4.9,5.35,3.6,5.1,5.033,4.54,1.273,4.333,4.333,8.667,3.575,4.667,5.1,5.367,4.787,79.0,44.5,0.542,3.012,3,163
TECLA SALA,2014,9.472,5.0,5.0,0.7,6.1,5.1,6.0,5.8,6.1,5.5,7.2,5.25,1.73,9.0,1.0,10.0,5.45,3.4,5.8,6.15,5.883,66.0,60.0,0.909,5.348,1,60
TECLA SALA,2015,10.801,5.95,3.2,3.8,4.15,3.35,2.9,0.6,3.45,8.2,6.2,3.62,1.9,4.5,4.5,9.0,3.162,3.625,4.35,3.35,3.73,63.0,30.0,0.459,2.499,2,139
LA SALLE BONANOVA,2010,9.935,5.522,6.111,5.844,4.133,3.944,5.556,5.744,4.767,5.844,3.738,5.12,1.403,6.444,3.444,9.889,5.733,5.306,4.989,3.706,6.07,84.667,59.167,0.722,4.488,9,106
LA SALLE BONANOVA,2011,11.093,5.314,6.129,5.543,4.829,5.114,6.0,5.667,6.0,6.717,6.583,5.494,1.134,7.286,2.0,9.286,5.596,5.593,5.293,5.393,5.564,70.286,48.214,0.728,4.785,7,112
LA SALLE BONANOVA,2012,11.253,4.32,4.48,4.56,4.92,4.66,5.425,5.0,4.625,5.025,4.925,4.536,1.236,5.4,3.6,9.0,4.585,4.41,4.75,4.35,4.952,69.3,48.0,0.627,3.687,5,157
LA SALLE BONANOVA,2013,11.734,4.85,5.525,6.425,6.025,5.15,5.575,6.05,5.0,4.95,6.8,5.635,1.138,7.0,3.0,10.0,5.5,5.712,5.488,5.975,6.466,83.25,60.0,0.789,5.261,4,69
LA SALLE BONANOVA,2014,11.327,5.45,5.508,5.55,5.925,5.408,5.755,5.136,5.527,5.655,6.6,5.413,1.002,8.083,1.5,9.583,5.235,5.308,5.554,5.729,5.843,65.875,55.0,0.82,5.257,12,63
LA SALLE BONANOVA,2015,11.625,6.543,5.414,4.6,6.829,4.743,3.886,5.114,3.2,5.567,5.1,5.094,1.793,5.857,3.857,9.714,5.239,3.957,6.1,4.921,5.298,63.643,39.429,0.624,3.487,7,98
INST.MANOLO HUGUÉ,2010,11.008,5.0,6.3,5.6,6.6,5.7,6.2,6.1,5.4,7.5,6.2,6.06,0.7,10.0,0.0,10.0,5.9,5.5,7.05,5.95,6.028,60.0,60.0,1.0,6.028,1,34
INST.CELESTÍ BELLERA,2010,11.76,4.3,5.0,6.0,6.1,7.1,5.0,6.6,6.2,8.0,7.1,6.14,1.13,9.0,1.0,10.0,5.225,6.1,7.05,7.1,6.298,66.0,60.0,0.909,5.725,1,49
INSTITUCIO CULTURAL DEL CIC,2010,10.426,4.175,4.6,5.088,4.988,4.088,5.375,4.687,4.5,5.15,5.488,4.814,1.405,5.5,4.5,10.0,4.709,4.794,5.069,4.788,5.959,91.875,57.562,0.665,3.968,8,132
INSTITUCIO CULTURAL DEL CIC,2011,11.151,5.9,6.34,5.19,5.75,6.52,6.29,5.74,6.18,6.47,5.78,6.016,1.144,9.0,1.0,10.0,6.068,5.685,6.11,6.15,6.129,68.1,57.15,0.892,5.582,10,74
INSTITUCIO CULTURAL DEL CIC,2012,11.422,5.782,5.824,5.024,4.976,4.488,5.119,6.119,5.988,5.606,5.156,5.244,1.229,7.118,2.588,9.706,5.546,5.329,5.126,4.671,5.872,72.529,56.471,0.774,4.864,17,90
INSTITUCIO CULTURAL DEL CIC,2013,11.387,5.8,6.325,6.638,6.8,6.675,6.325,6.1,5.038,4.988,5.712,6.04,0.979,8.0,2.0,10.0,6.138,5.837,5.894,6.194,6.442,72.0,60.0,0.86,5.646,8,58
INSTITUCIO CULTURAL DEL CIC,2014,10.928,6.13,5.67,5.68,6.0,5.89,5.11,4.578,5.833,6.6,7.2,5.746,1.247,7.4,2.2,9.6,5.341,5.64,6.045,6.33,6.061,70.8,54.0,0.771,5.13,10,69
INSTITUCIO CULTURAL DEL CIC,2015,10.93,5.25,4.812,4.288,5.025,4.775,3.662,3.471,4.167,4.75,4.15,4.262,1.616,4.75,4.375,9.125,4.247,4.15,4.438,4.419,4.272,62.25,31.312,0.501,2.628,8,133
INFANT JESÚS,2010,11.497,5.4,5.25,4.85,7.0,2.85,6.35,6.05,7.2,5.9,5.25,5.61,1.54,8.5,1.5,10.0,5.762,6.025,6.45,4.05,6.04,71.25,60.0,0.863,5.3,2,70
INFANT JESÚS,2011,11.566,6.05,6.1,4.6,5.4,5.55,6.3,5.8,6.55,6.7,3.3,5.635,1.345,8.5,1.5,10.0,6.062,5.575,6.05,4.425,6.01,69.75,60.0,0.862,5.201,2,92
INFANT JESÚS,2012,10.661,6.725,5.45,5.575,5.725,3.9,5.6,4.925,5.85,5.975,3.85,5.358,1.24,7.5,2.5,10.0,5.675,5.712,5.85,3.875,6.066,81.75,60.0,0.768,4.712,4,101
INFANT JESÚS,2013,11.382,7.2,7.5,7.3,8.3,9.0,7.6,5.4,6.0,5.6,6.0,6.99,1.2,10.0,0.0,10.0,6.925,6.65,6.95,7.5,7.0,60.0,60.0,1.0,7.0,1,19
INFANT JESÚS,2014,11.52,5.675,5.45,5.1,4.1,5.825,6.0,4.05,5.175,7.025,4.925,5.332,1.27,7.25,2.75,10.0,5.294,5.137,5.562,5.375,6.228,81.75,60.0,0.791,5.041,4,71
