HSCHOOL,AC_YEAR,AC_GRADE,Linear Algebra,Calculus I,Basic Mechanics,Chemistry I,Fundamentals of Informatics,Geometry,Calculus II,Basic Thermodynamics,Chemistry II,Engineering Drawing,MEAN,STD,PASSED,FAILED,NUM_SUBJ,Maths,Physics,Chemistry,Informatics,MEAN_CRED,ENROL_ECTS,PASS_ECTS,ALPHA,RANK_MEAN,NUM_STUD,RANKING
INST.MANUEL DE PEDROLO,2015,13.018,7.6,6.7,5.2,9.0,8.6,3.3,5.7,5.2,4.0,3.4,5.87,2.06,7.0,3.0,10.0,5.825,5.2,6.5,6.0,5.855,60.0,42.0,0.7,4.099,1,74
MESTRAL - JORBA,2011,11.268,7.2,9.0,5.7,5.7,7.9,7.2,6.5,6.7,6.0,6.3,6.82,1.04,10.0,0.0,10.0,7.475,6.2,5.85,7.1,6.828,60.0,60.0,1.0,6.828,1,23
MESTRAL - JORBA,2012,11.678,5.9,4.6,5.4,5.9,5.0,6.1,3.1,5.3,4.0,6.1,5.14,0.99,7.0,3.0,10.0,4.925,5.35,4.95,5.55,5.942,76.5,60.0,0.784,4.661,1,105
MESTRAL - JORBA,2014,11.032,5.65,5.0,5.9,6.4,7.3,5.4,4.25,5.65,5.05,4.7,5.53,1.185,9.0,1.0,10.0,5.075,5.775,5.725,6.0,5.828,66.75,60.0,0.908,5.28,2,62
MESTRAL - JORBA,2015,11.44,7.3,5.0,6.1,5.8,6.1,6.5,5.0,3.1,5.0,4.8,5.47,1.16,8.0,2.0,10.0,5.95,4.6,5.4,5.45,5.465,60.0,46.5,0.775,4.235,1,67
LA MERCE - MARTORELL,2011,12.548,5.6,7.0,5.0,7.0,7.8,0.0,0.0,2.5,2.5,0.6,3.8,3.05,5.0,5.0,10.0,3.15,3.75,4.75,4.2,3.752,60.0,30.0,0.5,1.876,1,160
LA MERCE - MARTORELL,2012,11.858,6.3,5.0,5.5,5.5,6.3,5.8,5.1,6.6,6.4,5.3,5.78,0.58,10.0,0.0,10.0,5.55,6.05,5.95,5.8,5.752,60.0,60.0,1.0,5.752,1,50
ABAT OLIBA LORETO,2011,11.267,5.767,4.7,4.667,5.667,5.9,5.733,5.567,3.667,6.733,6.433,5.483,1.263,7.333,2.667,10.0,5.442,4.167,6.2,6.167,5.992,80.5,60.0,0.776,4.736,3,119
ABAT OLIBA LORETO,2012,11.599,5.667,6.233,5.567,6.7,4.667,3.933,3.1,5.7,6.233,4.2,5.2,1.54,6.667,3.333,10.0,4.733,5.633,6.467,4.433,5.732,80.5,60.0,0.747,4.283,3,128
ABAT OLIBA LORETO,2013,11.844,5.7,6.475,6.675,8.275,6.575,6.25,5.875,5.825,5.4,4.1,6.115,1.325,8.75,1.25,10.0,6.075,6.25,6.838,5.338,6.429,67.875,60.0,0.901,5.831,4,50
ABAT OLIBA LORETO,2014,11.043,5.05,4.875,4.85,5.875,5.65,4.05,3.9,5.225,5.65,5.3,5.042,1.412,6.75,3.25,10.0,4.469,5.038,5.762,5.475,6.064,79.875,60.0,0.789,4.76,4,87
