HSCHOOL,AC_GRADE,Linear Algebra,Calculus I,Basic Mechanics,Chemistry I,Fundamentals of Informatics,Geometry,Calculus II,Basic Thermodynamics,Chemistry II,Engineering Drawing,MEAN,STD,PASSED,FAILED,NUM_SUBJ,Maths,Physics,Chemistry,Informatics,MEAN_CRED,ENROL_ECTS,PASS_ECTS,ALPHA,RANK_MEAN,NUM_STUD,RANKING
CULTURAL,11.716,5.408,4.533,4.975,4.917,4.45,4.286,4.056,3.922,4.492,3.872,4.451,1.58,4.417,4.5,8.917,4.495,4.533,4.508,3.95,4.413,66.875,34.375,0.516,2.814,3.333,145.0
SAGRADO CORAZÓN-EDUARDO CONDE,10.616,4.334,5.031,4.583,4.636,2.834,4.125,4.42,3.498,5.0,4.695,4.257,1.81,5.173,4.507,9.68,4.471,3.911,4.664,3.609,5.387,89.94,51.36,0.608,3.467,3.2,131.0
INST.ICÀRIA,10.946,5.273,5.98,5.418,6.407,5.332,5.278,5.008,4.657,5.69,5.633,5.468,1.366,7.0,3.0,10.0,5.385,5.038,6.048,5.482,6.05,77.65,52.75,0.749,4.751,3.2,91.6
SANT MIQUEL DELS SANTS,11.045,5.306,4.997,5.408,6.811,5.861,5.422,4.972,5.308,5.697,5.392,5.518,1.24,7.833,2.111,9.944,5.182,5.358,6.254,5.626,5.941,71.833,56.583,0.823,4.97,3.167,77.833
ESCOLA PIA DE SARRIA,10.629,4.958,4.328,4.81,5.054,4.317,4.215,4.236,3.97,5.378,5.231,4.576,1.412,5.458,3.93,9.389,4.367,4.406,5.087,4.485,5.335,81.979,50.792,0.645,3.722,3.167,125.667
ESC.PROF.SALESIANA,11.01,5.236,5.521,5.364,5.41,5.929,5.31,5.682,4.854,5.946,5.651,5.506,1.276,7.733,2.183,9.917,5.438,5.207,5.645,5.79,5.959,70.508,56.833,0.825,4.971,3.167,76.333
SANT JOSEP - SANT SADURNI,11.064,4.597,4.467,3.615,5.0,3.854,4.138,4.727,4.396,5.761,5.216,4.417,1.658,5.389,4.195,9.583,4.365,3.912,5.121,4.322,5.295,84.396,52.25,0.616,3.614,3.167,137.333
"SUNION, INST.CULTURAL CATALANA",11.238,5.597,5.433,4.928,5.764,6.038,5.174,5.093,5.72,5.276,6.068,5.425,1.295,6.611,3.0,9.611,5.252,5.072,5.334,6.053,5.952,74.375,52.0,0.735,4.664,3.167,94.0
ABAT OLIBA LORETO,11.891,6.117,6.457,6.052,7.143,6.358,5.233,4.908,5.743,6.563,5.187,5.976,1.398,7.9,2.1,10.0,5.679,5.898,6.853,5.773,6.437,73.75,60.0,0.843,5.516,3.0,77.2
INST.JOAQUIMA PLA I FARRERAS,10.059,4.167,1.833,3.267,3.467,2.7,2.2,3.0,2.0,4.0,6.4,3.387,1.577,1.667,5.667,7.333,3.158,2.933,3.55,4.033,3.44,60.5,27.0,0.457,1.607,3.0,164.0
INST.BERNAT EL FERRER,10.9,4.533,5.533,5.467,5.867,5.7,3.667,4.0,4.1,4.5,4.633,4.8,1.75,5.333,4.667,10.0,4.433,4.783,5.183,5.167,6.188,92.0,60.0,0.656,4.071,3.0,137.0
INST.TREMP,11.265,6.2,6.0,6.133,7.033,7.033,6.733,5.567,7.067,6.767,8.2,6.673,0.967,10.0,0.0,10.0,6.125,6.6,6.9,7.617,6.709,60.0,60.0,1.0,6.709,3.0,23.0
ESCOLA PIA D'IGUALADA,10.812,4.548,4.623,4.498,4.278,3.834,4.961,5.44,5.724,4.443,5.05,4.358,1.155,4.822,3.732,8.554,4.449,4.796,4.467,3.683,4.389,71.491,37.875,0.546,3.223,3.0,117.5
INST.PRÍNCEP DE GIRONA,11.355,5.233,4.5,5.1,6.0,6.733,4.5,3.933,4.333,5.433,5.6,5.137,1.24,7.0,3.0,10.0,4.542,4.717,5.717,6.167,5.325,83.0,50.0,0.718,4.196,3.0,106.0
INST.ILLA DE RODES,11.368,6.867,7.833,7.2,7.467,8.367,7.967,8.4,6.533,7.8,7.333,7.577,0.857,10.0,0.0,10.0,7.767,6.867,7.633,7.85,7.565,60.0,60.0,1.0,7.565,3.0,6.0
INST.FORT PIUS,11.097,7.033,7.6,6.0,7.1,8.0,5.167,6.633,2.433,4.867,8.033,6.287,2.073,7.667,2.333,10.0,6.608,4.217,5.983,8.017,6.951,73.0,60.0,0.826,5.729,3.0,71.0
