HSCHOOL,AC_GRADE,Linear Algebra,Calculus I,Basic Mechanics,Chemistry I,Fundamentals of Informatics,Geometry,Calculus II,Basic Thermodynamics,Chemistry II,Engineering Drawing,MEAN,STD,PASSED,FAILED,NUM_SUBJ,Maths,Physics,Chemistry,Informatics,MEAN_CRED,ENROL_ECTS,PASS_ECTS,ALPHA,RANK_MEAN,NUM_STUD,RANKING
INST.TECN ESPORT TERRES EBRE,11.465,4.5,3.9,5.5,4.55,3.4,2.65,2.6,2.75,2.6,5.35,3.78,1.305,3.5,6.5,10.0,3.412,4.125,3.575,4.375,5.664,111.75,60.0,0.576,3.298,2.0,159.0
LA FARGA,10.999,4.867,4.092,4.567,5.175,4.625,5.544,4.956,2.878,4.244,4.7,4.51,1.451,5.917,3.75,9.667,4.794,3.708,4.708,4.663,5.412,86.875,55.0,0.663,3.874,2.0,131.0
ESCOLA L'ESPERANÇA,11.67,4.2,5.95,6.6,6.4,6.3,5.6,4.65,4.5,7.9,5.8,5.79,1.24,8.0,2.0,10.0,5.1,5.55,7.15,6.05,6.258,72.75,60.0,0.851,5.379,2.0,65.0
LA SALLE HORTA,10.65,5.85,6.15,5.0,5.45,3.7,6.7,6.6,5.15,6.75,6.8,5.815,1.325,9.0,1.0,10.0,6.325,5.075,6.1,5.25,6.186,69.0,60.0,0.885,5.515,2.0,56.0
INST.ARQUITECTE M.RASPALL,11.466,6.65,6.7,5.85,5.55,8.6,8.0,6.1,7.3,8.4,8.3,6.295,1.74,5.5,2.0,7.5,6.038,5.85,5.25,8.3,5.819,57.0,45.0,0.778,5.092,2.0,40.0
JESUS MARIA - MERIDIANA,10.569,3.383,3.65,4.283,4.667,6.6,5.667,4.967,4.55,5.217,5.8,4.57,1.602,5.333,3.833,9.167,3.996,4.158,4.375,6.325,5.203,73.75,51.0,0.662,3.819,2.0,118.667
LLEÓ XIII,11.507,4.65,4.75,4.95,6.3,4.95,5.7,4.25,2.9,6.5,4.35,4.93,1.6,6.0,4.0,10.0,4.838,3.925,6.4,4.65,6.135,87.75,60.0,0.685,4.194,2.0,121.0
MARISTES LES CORTS,11.344,6.137,5.729,5.038,6.375,5.825,5.108,4.267,5.142,5.6,4.879,5.362,1.612,6.833,2.75,9.583,5.3,5.09,5.858,5.235,5.9,75.312,54.375,0.756,4.617,1.833,98.333
"SANT JOAN BOSCO, COL·LEGI",10.79,5.57,6.544,5.381,6.222,5.522,5.539,5.072,5.344,6.369,6.342,5.791,1.394,8.0,2.0,10.0,5.681,5.363,6.296,5.932,6.527,73.042,60.0,0.866,5.704,1.833,65.0
ESCORIAL,10.755,5.016,5.372,5.248,5.448,4.864,5.064,6.41,6.45,6.515,6.16,5.419,1.422,7.04,2.36,9.4,5.202,5.504,5.43,5.512,5.914,70.14,54.3,0.783,4.898,1.8,80.0
MARISTES LA IMMACULADA,10.829,5.077,4.623,5.423,5.17,6.08,5.16,4.51,3.147,5.267,6.277,5.073,1.64,6.367,3.633,10.0,4.843,4.285,5.218,6.178,6.209,84.0,60.0,0.734,4.577,1.8,106.0
LESTONNAC - BARCELONA,11.489,4.55,4.96,4.41,6.06,5.465,4.635,5.075,4.11,6.15,5.975,4.818,1.301,6.25,2.95,9.2,4.586,4.17,5.91,4.972,5.046,67.725,43.65,0.66,4.117,1.8,87.8
INST.ANTONI MARTÍ I FRANQUÈS,11.354,6.693,6.507,5.73,6.417,5.547,5.297,5.4,4.487,5.307,5.367,5.675,1.321,7.6,2.4,10.0,5.974,5.108,5.862,5.457,6.491,74.4,60.0,0.847,5.541,1.8,58.6
SAGRADA FAMÍLIA-GAVÀ,10.398,4.53,5.153,4.47,4.133,2.843,3.746,2.883,4.088,4.842,3.833,3.876,1.609,3.767,5.233,9.0,4.012,4.105,4.243,3.01,5.036,89.5,45.3,0.538,3.044,1.8,130.0
INST.COSTA I LLOBERA,10.902,5.77,5.67,5.495,5.975,6.29,4.04,5.085,4.735,5.14,5.56,5.376,1.364,7.9,2.1,10.0,5.141,5.115,5.558,5.925,5.706,68.175,53.1,0.805,4.768,1.8,85.0
SEK-CATALUNYA,10.557,5.262,5.075,4.65,4.5,5.175,4.525,4.962,5.112,5.425,5.15,4.936,1.364,5.375,4.375,9.75,4.901,4.881,4.788,5.162,5.716,81.562,50.25,0.63,3.921,1.75,108.25
SANT JOSEP - SANT BOI,11.377,5.412,4.979,4.838,6.033,6.238,5.021,3.833,3.888,6.138,5.271,5.165,1.276,7.458,2.542,10.0,4.811,4.362,6.086,5.754,5.612,74.125,56.75,0.796,4.515,1.75,92.75
INST.SECRETARI COLOMA,10.85,4.646,4.033,5.304,4.583,4.9,4.6,5.4,5.238,5.188,4.863,4.817,1.916,6.875,2.708,9.583,4.574,5.283,4.686,4.969,5.89,83.062,57.5,0.749,4.515,1.75,99.0
FRETA-CALELLA,11.605,6.721,6.671,5.875,6.321,6.25,5.675,5.221,5.358,5.496,5.467,5.906,1.304,8.5,1.5,10.0,6.072,5.617,5.908,5.858,6.159,64.5,55.5,0.867,5.501,1.75,62.5
INST.FRANCISCO DE GOYA,10.134,4.858,4.021,3.975,4.712,4.279,4.6,3.95,5.5,4.988,4.854,4.376,1.129,4.625,4.542,9.167,4.252,4.208,4.631,4.567,4.851,79.75,44.5,0.549,3.09,1.75,147.5
EUROPA INTERNATIONAL SCHOOL,11.059,4.425,4.162,3.838,3.294,4.45,4.594,4.025,4.85,5.625,6.656,4.592,1.668,4.5,5.5,10.0,4.302,4.344,4.46,5.553,5.984,97.406,59.25,0.625,3.805,1.75,136.75
INST.JAUME CALLÍS,10.751,6.125,5.837,6.5,6.538,6.488,6.588,4.638,5.65,6.712,6.65,6.116,1.206,8.25,1.5,9.75,5.722,6.075,6.556,6.569,6.283,65.25,54.938,0.864,5.672,1.75,47.5
INST.VALLDEMOSSA,11.678,6.212,5.362,5.517,6.446,5.954,4.979,5.3,5.554,6.662,5.908,5.79,1.17,8.5,1.5,10.0,5.464,5.536,6.554,5.931,6.205,70.625,60.0,0.893,5.564,1.75,62.25
LESTONNAC-L'ENSENYANÇA TARRAGO,11.715,6.283,6.862,6.038,7.288,7.238,6.675,5.912,6.238,6.967,6.0,6.535,1.175,8.833,0.75,9.583,6.402,6.144,7.098,6.629,6.466,62.938,57.5,0.936,6.088,1.75,50.75
INST.MEDITERRANIA-MASNOU,10.654,6.725,4.331,4.562,7.088,6.081,4.925,3.913,4.275,5.819,6.15,5.387,2.055,6.75,3.25,10.0,4.974,4.419,6.453,6.116,5.939,71.625,52.5,0.728,4.441,1.75,99.0
AURA,11.598,5.989,6.378,4.767,6.467,4.111,6.2,5.967,5.9,6.022,3.933,5.573,1.561,8.222,1.778,10.0,6.133,5.333,6.244,4.022,6.349,73.0,60.0,0.831,5.328,1.667,69.667
INST.PREMIÀ DE MAR,11.084,6.217,6.1,5.633,7.0,6.767,5.567,4.633,5.267,5.667,6.2,5.905,1.392,7.833,2.167,10.0,5.629,5.45,6.333,6.483,6.634,74.0,59.0,0.853,5.76,1.667,60.0
INST.M E.INTERMUN.DEL PENEDES,11.369,4.421,4.15,4.458,4.542,5.129,4.45,4.64,4.215,6.41,5.985,4.245,1.394,5.0,3.708,8.708,3.813,3.99,4.692,4.917,4.405,58.5,35.25,0.52,3.352,1.667,112.333
"CERVETO, ESCOLA",11.273,5.792,5.7,5.286,6.658,3.686,5.57,5.32,5.57,6.842,4.175,5.455,1.727,6.805,3.028,9.833,5.617,5.428,6.75,3.931,6.209,79.125,56.75,0.75,4.762,1.667,96.333
SANT JOSEP OBRER,10.605,5.411,5.867,5.5,5.056,6.367,4.567,6.011,5.0,6.8,6.378,5.696,1.389,8.0,2.0,10.0,5.464,5.25,5.928,6.372,6.304,72.667,60.0,0.836,5.301,1.667,73.0
INST.JOAN BRUDIEU,10.875,4.233,5.533,4.817,4.133,5.617,6.9,7.025,5.35,6.625,7.375,4.822,1.083,6.5,1.833,8.333,4.896,4.442,4.275,5.6,4.749,61.0,40.0,0.651,4.445,1.667,78.667
INST.LES MARINES,10.61,4.433,4.917,4.967,5.983,5.583,5.067,4.15,4.317,6.167,3.633,4.922,1.58,6.333,3.667,10.0,4.642,4.642,6.075,4.608,5.843,90.0,60.0,0.694,4.094,1.667,128.667
INST.MENÉNDEZ Y PELAYO,11.602,5.067,5.8,5.417,5.15,6.467,4.933,5.55,4.883,6.833,5.067,5.517,1.258,6.667,3.333,10.0,5.338,5.15,5.992,5.767,6.298,80.5,60.0,0.786,5.055,1.667,97.667
INST.MARIUS TORRES,10.95,5.267,5.333,5.517,5.633,4.733,5.317,5.2,4.217,5.267,3.483,4.997,1.577,6.0,4.0,10.0,5.279,4.867,5.45,4.108,5.593,83.0,48.75,0.64,3.789,1.667,118.333
SANT GABRIEL-VILADECANS,11.136,5.433,4.333,4.483,4.833,5.95,4.367,4.433,4.55,6.75,6.0,5.113,1.425,7.0,3.0,10.0,4.642,4.517,5.792,5.975,5.497,70.75,52.0,0.737,4.148,1.667,106.667
"MONTSERRAT, COL·LEGI",10.876,6.133,5.85,5.083,5.7,5.917,5.9,6.3,5.283,5.617,6.5,5.828,0.935,7.833,2.167,10.0,6.046,5.183,5.658,6.208,5.915,63.0,49.0,0.784,5.09,1.667,72.0
INST.CAMBRILS,10.726,6.35,5.967,5.2,7.033,6.317,5.017,5.583,4.8,7.583,6.5,6.035,1.555,8.167,1.833,10.0,5.729,5.0,7.308,6.408,6.433,71.0,56.0,0.841,5.637,1.667,61.0
ESCOLA PIA DE SITGES,10.776,5.037,5.513,4.92,4.92,4.947,3.94,3.867,3.28,4.547,5.053,4.813,1.278,5.533,3.967,9.5,4.807,4.35,4.948,5.155,5.222,72.7,49.2,0.674,3.728,1.6,118.6
INST.MERCÈ RODOREDA,10.479,5.567,4.547,5.173,5.747,6.833,3.517,3.867,4.837,5.929,5.303,5.017,1.519,6.333,3.067,9.4,4.332,4.862,5.545,6.068,5.484,72.6,51.6,0.716,4.246,1.6,98.8
INST.PERE RIBOT,10.907,6.173,5.773,5.987,5.99,6.067,5.77,5.25,4.51,6.12,5.93,5.757,1.119,8.267,1.733,10.0,5.742,5.248,6.055,5.998,6.049,66.95,56.4,0.858,5.31,1.6,65.6
INST.ERNEST LLUCH,11.235,4.19,4.32,5.66,6.71,6.84,4.88,5.0,3.55,6.41,4.92,5.245,1.839,6.8,3.1,9.9,4.585,4.605,6.56,5.88,5.98,80.1,54.6,0.713,4.38,1.6,103.4
"ISABEL DE VILLENA, ESCOLA",10.075,4.85,4.29,4.05,5.54,5.205,4.525,3.3,3.881,4.906,5.244,4.416,1.229,5.65,3.35,9.0,4.085,3.738,5.122,5.05,4.429,69.075,41.1,0.583,3.186,1.6,130.0
ESCOLA PIA SANT ANTONI,12.062,5.78,5.34,5.66,6.65,6.41,5.15,4.92,5.137,5.86,5.912,5.593,1.332,6.8,2.5,9.3,5.235,5.35,6.325,5.78,5.358,58.05,42.0,0.693,4.551,1.6,85.4
"BON SALVADOR, COL.LEGI",11.94,5.72,5.97,5.78,6.42,6.8,5.67,4.77,5.16,5.9,5.82,5.801,1.017,9.0,1.0,10.0,5.532,5.47,6.16,6.31,6.074,67.2,60.0,0.917,5.605,1.6,60.8
INST.ALEXANDRE DEULOFEU,12.501,6.95,5.65,5.95,7.65,7.85,4.8,6.425,5.075,6.15,5.875,6.238,1.715,7.5,2.5,10.0,5.956,5.512,6.9,6.863,6.533,67.5,51.0,0.767,5.173,1.5,57.5
INST.MAREMAR,10.386,6.175,4.275,4.575,6.375,6.075,4.025,4.3,4.35,4.925,6.5,5.09,1.47,5.5,3.0,8.5,4.74,4.375,5.65,5.588,5.02,64.875,47.25,0.716,3.748,1.5,104.5
AGORA SANT CUGAT IS,11.17,5.538,5.488,5.212,6.675,5.462,6.038,5.562,5.325,7.012,6.212,5.853,1.236,7.75,2.25,10.0,5.656,5.269,6.844,5.838,6.237,72.75,59.25,0.835,5.272,1.5,76.5
INST.CREU DE SABA,10.578,1.85,2.025,3.75,4.775,5.3,5.3,4.55,4.45,5.15,3.35,3.673,1.79,3.0,5.0,8.0,2.287,3.862,4.925,4.325,3.872,91.5,36.0,0.378,2.025,1.5,164.0
INST.C.A.R.,8.7,2.925,2.2,2.275,4.7,1.325,,,2.5,1.7,2.3,2.565,1.763,0.75,5.0,5.75,2.562,2.175,4.412,0.95,1.899,46.5,9.0,0.175,0.378,1.5,185.5
INST.JOAN COROMINES-PINEDA,10.562,4.275,4.625,4.575,5.325,6.675,5.2,3.425,1.775,6.725,5.7,4.83,1.825,5.0,5.0,10.0,4.381,3.175,6.025,6.188,6.582,90.0,60.0,0.671,4.411,1.5,102.5
INST.ERMENGOL IV,10.9,5.025,5.625,5.175,6.575,5.775,3.925,5.025,4.8,6.675,6.15,5.475,1.192,7.25,2.75,10.0,4.9,4.988,6.625,5.962,5.744,66.0,49.125,0.762,4.497,1.5,78.5
INST.VALERIA PUJOL I BOSCH,10.537,5.55,5.525,4.775,4.225,5.375,4.75,4.05,4.3,5.175,6.75,5.047,1.292,6.75,3.25,10.0,4.969,4.538,4.7,6.062,5.788,83.625,60.0,0.752,4.365,1.5,112.5
INST.LA SEGARRA,11.268,5.9,6.275,5.375,6.7,7.875,7.35,6.275,6.55,6.45,7.3,6.605,1.025,9.75,0.25,10.0,6.45,5.962,6.575,7.588,6.646,61.5,60.0,0.977,6.509,1.5,37.5
INST.BAIX MONTSENY,10.802,6.5,4.775,5.95,4.95,5.6,5.5,5.075,6.075,6.45,7.875,5.875,1.17,7.0,3.0,10.0,5.462,6.012,5.7,6.738,6.605,78.0,60.0,0.812,5.516,1.5,66.5
LA SALLE MANLLEU,11.168,5.675,6.375,5.675,7.25,6.475,4.675,5.1,4.4,6.075,4.975,5.668,1.165,7.0,3.0,10.0,5.456,5.038,6.662,5.725,6.274,78.75,60.0,0.808,5.17,1.5,84.0
LA MERCED - BARCELONA,12.276,7.1,6.625,5.175,6.15,5.375,5.95,6.15,5.925,6.2,5.8,6.045,0.978,8.5,1.5,10.0,6.456,5.55,6.175,5.588,6.24,66.0,53.25,0.823,5.308,1.5,56.0
VEDRUNA-GIRONA,11.145,5.425,4.4,3.85,5.175,6.375,5.275,5.9,5.45,5.425,7.15,5.408,1.29,7.75,1.75,9.5,5.112,4.65,5.3,6.762,5.516,64.5,54.0,0.84,4.657,1.5,68.0
INST.GUILLEM DE BERGUEDA,11.204,4.725,4.2,5.05,4.25,5.1,5.575,5.025,4.8,6.2,3.425,4.835,1.58,7.5,2.5,10.0,4.882,4.925,5.225,4.262,5.657,75.75,60.0,0.806,4.56,1.5,108.0
INST.LA LLAUNA,11.252,5.275,4.075,5.525,6.425,5.3,4.6,4.85,5.925,6.7,4.7,5.338,1.185,7.0,3.0,10.0,4.7,5.725,6.562,5.0,5.793,78.75,60.0,0.78,4.556,1.5,110.0
INST.JOSEP PLA,10.861,5.625,5.05,4.1,4.175,7.1,3.85,3.15,2.75,4.35,4.925,4.6,1.832,5.25,4.25,9.5,4.588,3.425,4.262,6.012,5.142,72.0,43.875,0.594,3.294,1.5,124.0
INST.JOSEP VALLVERDÚ,11.302,7.075,5.85,5.575,7.525,5.8,5.6,5.275,6.3,7.8,6.25,6.305,1.275,9.5,0.5,10.0,5.95,5.938,7.662,6.025,6.389,63.0,60.0,0.958,6.134,1.5,41.0
SIL,11.695,4.55,4.475,4.325,4.85,4.775,5.55,3.5,4.95,5.15,3.3,4.098,0.848,6.25,2.5,8.75,4.037,4.025,4.438,3.95,4.184,57.375,39.0,0.613,3.52,1.5,101.5
ESCOLA PIA DE SABADELL,10.704,7.15,6.4,5.975,5.55,7.075,7.025,4.35,5.2,5.275,6.575,6.058,1.297,8.5,1.5,10.0,6.231,5.588,5.412,6.825,6.208,65.625,52.5,0.841,5.604,1.5,65.0
INST.CASTELLBISBAL,11.157,4.6,4.625,5.0,5.9,5.675,4.05,4.05,4.25,4.7,5.0,4.822,1.128,6.0,3.25,9.25,4.456,4.625,5.325,5.338,5.271,70.5,49.5,0.698,3.908,1.5,127.5
INST.OLIVAR GRAN,11.195,5.35,3.975,5.7,5.9,5.95,4.3,3.35,3.725,4.125,6.425,4.88,1.32,5.0,5.0,10.0,4.244,4.712,5.012,6.188,4.938,60.0,30.0,0.5,3.599,1.5,105.5
INST.PERE BORRELL,10.988,5.725,5.65,6.225,7.525,5.975,4.725,6.4,5.55,5.425,6.55,5.975,1.237,7.5,2.5,10.0,5.625,5.888,6.475,6.262,6.442,74.25,60.0,0.839,5.411,1.5,74.5
GRANES,10.3,3.125,5.85,6.175,6.05,6.225,4.225,3.9,4.025,3.625,3.95,4.715,2.45,6.5,3.5,10.0,4.275,5.1,4.838,5.088,6.252,95.25,60.0,0.699,4.41,1.5,111.5
INST.JOAN FUSTER,8.309,2.775,2.075,2.025,2.325,0.95,0.0,5.6,0.5,2.2,5.3,1.91,1.36,1.0,5.5,6.5,2.194,1.612,1.712,1.612,1.758,71.25,16.5,0.166,0.863,1.5,171.0
"EMPORDÀ, C.E. - SANT JOSEP",11.285,5.95,5.2,5.325,5.95,3.625,5.7,5.1,3.5,5.925,3.725,5.0,1.382,7.0,3.0,10.0,5.488,4.412,5.938,3.675,5.591,78.0,52.5,0.686,3.981,1.5,126.0
INST.BOSC DE LA COMA,11.566,6.3,6.2,6.3,7.675,7.2,7.45,6.65,6.35,7.7,6.175,6.8,1.132,9.0,1.0,10.0,6.65,6.325,7.688,6.688,7.15,66.0,60.0,0.928,6.686,1.5,21.5
ESCOLA PIA DE GRANOLLERS,10.798,6.0,5.733,5.15,5.517,5.517,5.1,4.608,7.289,6.989,3.825,5.378,1.667,7.0,2.5,9.5,5.36,5.646,5.379,4.671,5.656,68.125,49.5,0.744,4.617,1.5,89.0
SANT GABRIEL-TORROELLA,9.926,6.325,5.85,4.8,6.775,4.05,4.525,3.375,4.975,4.875,6.15,5.17,1.525,7.25,2.75,10.0,5.018,4.887,5.825,5.1,5.935,76.125,60.0,0.803,4.85,1.5,80.0
INST.GABRIEL FERRATER I SOLER,11.111,5.514,5.414,5.047,5.055,4.667,4.25,4.51,4.328,5.227,5.083,4.808,1.284,6.917,2.639,9.556,4.876,4.687,4.947,4.821,4.99,67.958,47.667,0.714,4.135,1.5,106.333
INST.BAIX PENEDÈS,11.567,4.55,5.775,6.875,7.5,4.175,6.4,5.825,5.65,7.0,4.525,5.828,1.435,7.75,2.25,10.0,5.638,6.262,7.25,4.35,6.444,76.5,60.0,0.826,5.441,1.5,80.5
BON SOLEIL,11.534,4.362,3.738,4.25,4.688,3.412,5.267,5.1,4.0,4.283,5.775,4.044,1.084,4.0,4.0,8.0,4.186,3.731,4.225,3.681,4.242,71.062,37.5,0.509,2.837,1.5,136.5
LLOR,11.418,4.267,4.725,4.825,5.892,5.858,4.0,4.733,5.134,6.244,5.45,5.029,1.483,5.75,3.0,8.75,4.342,4.783,6.163,5.654,4.604,63.375,42.0,0.653,3.417,1.5,116.25
INST.JOAN BOSCÀ,11.189,6.625,5.075,5.675,6.887,7.087,4.988,5.9,5.788,5.725,5.625,5.938,1.374,8.0,2.0,10.0,5.647,5.731,6.306,6.356,6.357,74.438,54.562,0.803,5.259,1.5,61.75
INST.MONTILIVI,11.19,3.8,4.25,4.9,5.65,7.25,5.1,2.9,4.2,5.675,5.45,4.918,1.63,7.0,3.0,10.0,4.012,4.55,5.662,6.35,5.934,90.75,60.0,0.747,4.531,1.5,106.0
INST.CIRVIANUM DE TORELLO,11.485,5.875,5.25,4.95,7.2,6.45,6.175,5.025,3.625,6.325,6.775,5.765,1.34,8.0,2.0,10.0,5.582,4.288,6.762,6.612,5.776,60.0,48.0,0.8,4.86,1.5,69.0
GOAR,10.577,5.9,4.575,4.6,4.1,5.425,5.0,4.65,3.6,5.175,4.75,4.68,1.71,6.25,2.5,8.75,4.838,4.15,4.637,5.088,4.607,61.5,41.625,0.656,3.413,1.5,111.0
INST.VIL.LA ROMANA,12.26,8.625,7.55,7.275,8.15,8.575,6.75,5.95,5.95,7.175,6.725,7.272,1.405,10.0,0.0,10.0,7.219,6.612,7.662,7.65,7.261,60.0,60.0,1.0,7.261,1.5,8.0
FERT,10.702,4.112,3.325,4.825,4.55,4.65,4.512,5.6,4.667,4.988,5.867,4.511,1.252,4.75,4.5,9.25,4.19,4.675,4.769,4.65,5.331,82.125,49.5,0.612,3.518,1.5,126.0
INST.PERE BARNILS,11.5,4.9,5.1,5.825,7.175,8.4,5.55,4.925,4.675,6.7,6.775,6.002,1.418,8.0,2.0,10.0,5.119,5.25,6.938,7.588,6.454,72.0,60.0,0.842,5.446,1.5,62.5
JOAN XXIII - HOSPITALET LL,10.561,5.22,5.507,4.767,5.72,4.507,6.933,6.5,5.908,7.608,5.317,5.413,1.673,6.8,2.2,9.0,5.613,4.947,6.423,4.47,5.899,66.7,50.4,0.744,4.944,1.4,91.0
EDUCEM II,10.93,3.32,3.9,3.74,4.29,4.2,3.312,3.367,3.3,4.538,3.575,3.433,1.441,3.4,5.2,8.6,3.103,3.36,3.96,3.56,3.942,76.8,36.45,0.434,2.232,1.4,154.4
PADRE DAMIAN-SAGRADOS CORAZONE,10.817,5.36,5.22,4.49,5.21,5.1,4.04,4.42,5.26,5.54,5.09,4.934,1.24,5.7,4.1,9.8,4.704,4.76,5.375,5.095,5.909,86.7,57.15,0.701,4.279,1.4,107.4
VEDRUNA-SAGRAT COR,11.07,5.8,5.2,5.24,5.987,6.747,6.15,4.788,7.125,5.24,5.46,5.379,1.383,5.933,3.133,9.067,4.895,5.48,5.513,5.983,5.143,63.6,37.1,0.603,4.433,1.4,98.8
CARDENAL SPíNOLA-ABAT OLIBA,11.63,6.683,6.467,5.633,7.083,5.533,5.167,6.05,5.017,6.833,6.45,6.092,1.515,8.833,1.167,10.0,6.092,5.325,6.958,5.992,6.371,73.0,60.0,0.851,5.481,1.333,70.0
TERRAFERMA,11.164,5.183,3.95,3.367,5.5,3.183,3.333,3.0,3.85,5.3,3.4,3.95,1.368,3.5,5.667,9.167,3.903,3.608,5.433,3.017,4.862,87.5,49.0,0.564,2.849,1.333,151.0
ST. GEORGE'S SCHOOL,11.105,4.517,4.283,4.467,5.617,4.883,7.2,6.3,4.883,5.35,5.35,5.117,1.258,6.333,3.333,9.667,5.154,4.675,5.483,5.117,5.529,80.0,52.75,0.665,3.996,1.333,127.333
INST.PERE VIVES VICH,11.044,5.95,3.967,5.867,6.233,6.433,6.7,4.6,5.4,7.067,7.7,5.612,1.577,7.0,2.167,9.167,4.896,5.508,6.067,6.692,5.38,55.0,42.0,0.7,4.574,1.333,96.0
STEL.LA,11.206,6.217,5.283,5.133,5.317,4.717,3.95,5.2,5.017,6.367,5.967,5.317,1.183,7.5,2.5,10.0,5.163,5.075,5.842,5.342,5.98,79.0,60.0,0.814,4.934,1.333,92.0
SAGRADA FAMÍLIA COL DIOCESÀ,10.566,3.383,5.383,5.517,5.467,3.883,5.425,4.367,3.333,4.2,5.217,4.573,1.33,4.333,5.333,9.667,4.562,4.425,4.833,4.55,5.156,82.5,46.0,0.553,3.072,1.333,143.0
PALCAM,10.198,6.783,6.483,4.583,5.75,5.117,5.25,4.983,6.117,4.967,5.233,5.527,1.305,7.833,2.167,10.0,5.875,5.35,5.358,5.175,5.717,65.25,50.5,0.779,4.628,1.333,88.667
INST.MOIANES,10.735,6.233,5.317,5.5,5.617,7.383,4.617,5.65,5.475,7.825,7.0,5.887,1.598,7.667,1.333,9.0,5.236,5.192,5.95,7.192,5.748,60.5,52.5,0.87,5.202,1.333,60.333
FEDAC-HORTA,11.222,7.267,6.25,5.833,7.25,6.45,6.617,6.15,6.267,6.967,7.0,6.605,1.045,9.667,0.333,10.0,6.571,6.05,7.108,6.725,6.666,62.0,60.0,0.97,6.485,1.333,37.0
INST.EMPERADOR CARLES,11.311,5.05,5.8,4.517,5.55,5.983,5.925,6.05,5.95,8.025,6.725,5.262,1.15,6.167,2.167,8.333,5.067,4.642,5.783,5.75,4.735,63.0,40.0,0.628,4.382,1.333,84.0
MESTRAL - SANT FELIU,11.022,4.167,4.633,4.633,4.183,4.733,4.717,5.033,3.433,4.95,5.417,4.59,1.4,5.667,4.333,10.0,4.638,4.033,4.567,5.075,5.349,101.0,46.5,0.569,3.323,1.333,127.333
INST.MILA I FONTANALS-VILAFR.,10.78,4.917,5.45,5.817,4.8,6.0,4.567,3.867,4.417,5.467,5.633,5.093,1.32,7.333,2.667,10.0,4.7,5.117,5.133,5.817,5.878,79.25,60.0,0.804,4.777,1.333,96.667
INST.ELS TRES TURONS,10.972,4.967,4.617,4.833,4.95,6.117,5.6,5.225,5.075,6.25,7.925,4.997,1.167,6.0,2.333,8.333,4.65,4.675,4.925,6.083,4.936,64.75,42.0,0.639,4.0,1.333,89.0
VEDRUNA-PALAMóS,12.114,5.483,5.7,6.25,6.183,6.033,4.433,3.667,5.3,5.8,5.9,5.545,1.438,8.0,1.833,9.833,4.947,5.775,5.992,5.967,5.478,62.0,50.0,0.818,4.828,1.333,80.0
MARISTES GIRONA,11.464,7.1,5.617,6.517,5.467,5.317,4.717,6.167,6.5,5.867,4.65,5.792,1.338,8.333,1.667,10.0,5.9,6.508,5.667,4.983,6.031,64.0,53.5,0.841,5.21,1.333,61.333
INST.ANGELETA FERRER I SENSAT,11.025,5.233,5.083,4.1,5.5,3.6,5.633,4.833,5.3,7.333,7.1,4.867,1.515,5.667,3.5,9.167,4.862,4.15,5.775,4.683,5.889,73.0,50.0,0.675,4.838,1.333,92.333
MARISTES MONTSERRAT,11.251,4.967,5.217,4.55,4.833,6.7,6.267,5.6,6.0,5.317,5.933,5.437,1.357,7.333,2.167,9.5,5.317,5.15,5.075,6.317,5.477,70.0,53.0,0.76,4.552,1.333,111.0
LA SALLE GIRONA,10.145,5.8,5.817,5.033,5.6,4.55,6.267,5.767,6.033,4.3,6.95,5.612,1.385,7.833,2.167,10.0,5.912,5.533,4.95,5.75,6.426,73.75,60.0,0.823,5.348,1.333,78.0
ESCOLA PIA BALMES,10.86,5.05,4.35,4.65,4.75,4.4,5.133,5.267,5.083,4.633,4.633,4.795,0.945,6.333,3.667,10.0,4.95,4.867,4.692,4.517,5.659,84.5,60.0,0.762,4.321,1.333,104.667
"MERITXELL, ESCOLA",10.9,5.133,6.65,5.05,6.033,3.867,6.625,6.35,6.75,6.25,6.65,5.832,1.273,6.833,2.167,9.0,6.104,5.508,6.142,4.817,5.825,68.25,53.5,0.798,4.769,1.333,83.667
SANTO ANGEL - GAVÀ,11.431,6.55,6.067,6.383,6.833,7.2,6.15,5.017,5.6,6.583,6.467,6.285,0.967,10.0,0.0,10.0,5.946,5.992,6.708,6.833,6.282,60.0,60.0,1.0,6.282,1.333,29.667
INST.NARCÍS OLLER,11.208,4.75,4.75,4.367,5.1,5.15,5.225,4.7,5.85,4.7,6.45,4.707,1.272,5.667,2.667,8.333,4.704,4.333,4.833,4.958,4.492,56.75,40.0,0.599,3.615,1.333,100.0
INST.JOAN MERCADER,10.467,4.433,4.617,5.033,5.683,5.617,4.733,4.0,5.067,5.783,5.983,5.072,1.067,6.0,3.667,9.667,4.405,5.017,5.733,5.8,5.22,74.0,40.5,0.63,3.66,1.333,94.667
INST.RAMON MUNTANER,11.133,6.317,6.567,6.383,6.65,6.8,6.817,6.467,7.183,7.567,7.317,6.807,0.913,9.333,0.667,10.0,6.542,6.783,7.108,7.058,6.995,64.0,60.0,0.952,6.666,1.333,25.333
INST.LA SEDETA,10.526,3.4,4.788,4.55,4.613,4.412,4.367,4.7,4.083,5.45,6.417,4.122,1.086,5.5,3.25,8.75,3.797,3.981,4.35,4.688,4.741,64.125,45.0,0.612,3.844,1.25,111.0
