Nom,Nom naturalesa,Adreça,Codi postal,Comarca,Codi comarca,Municipi,Codi municipi
INST.JOAN GUINJOAN I GISPERT,Públic,"C. Baltasar de Todà i de Tàpies, s/n",43330,Baix Camp,8,Riudoms,43129
INST.LEONARDO DA VINCI,Públic,"Ctra. de Sant Cugat a Rubí, s/n",8190,Vallès Occidental,40,Sant Cugat del Vallès,8205
INST.LES MARINES,Públic,"Camí Ral de València, 12",8860,Baix Llobregat,11,Castelldefels,8056
INST.VALL D'ARUS,Públic,"C. Mestres Esquè i Artó, 2",8759,Baix Llobregat,11,Vallirana,8295
INST.MOIANES,Públic,"C. de l'Institut, 2",8180,Moianès,42,Moià,8138
MONTESSORI-PALAU,Privat,"C. Camí vell de Fornells, 33",17003,Gironès,20,Girona,17079
"MIREIA,C.E.",Privat,"C. Donya Amadea Mestre, s/n",8390,Maresme,21,Montgat,8126
"AULA, ESCUELA EUROPEA",Privat,"Av. Mare de Déu de Lorda, 34-36",8034,Barcelonès,13,Barcelona,8019
DAINA ISARD,Privat,"C. Cerdanya, 15",8640,Baix Llobregat,11,Olesa de Montserrat,8147
INST.JOAN MERCADER,Públic,"C. Sant Vicenç, 27",8700,Anoia,6,Igualada,8102
ESCOLA PIA DE GRANOLLERS,Privat,"Av. Sant Esteve, 14",8402,Vallès Oriental,41,Granollers,8096
VEDRUNA-SAGRAT COR,Privat,"C. Santa Joaquima de Vedruna, 10",43002,Tarragonès,36,Tarragona,43148
IMMACULADA CONCEPCIó-LLORET,Privat,"C. de Felip Gibert, 38",17310,Selva,34,Lloret de Mar,17095
INST.MARTÍ DOT,Públic,"C. Josep Teixidor, 2-12",8980,Baix Llobregat,11,Sant Feliu de Llobregat,8211
INST.FRANCESC RIBALTA,Públic,"C. Francesc  Ribalta, s/n",25280,Solsonès,35,Solsona,25207
INST.CASTELLÓ D'EMPÚRIES,Públic,"C. Santa Clara, 55",17486,Alt Empordà,2,Castelló d'Empúries,17047
INST.LA GARROTXA,Públic,"Ctra. de Riudaura, 110",17800,Garrotxa,19,Olot,17114
INST.PERE BORRELL,Públic,"C. Escoles Pies, 46",17520,Cerdanya,15,Puigcerdà,17141
"BON SALVADOR, COL.LEGI",Privat,"C. d'Armenteres, 15",8980,Baix Llobregat,11,Sant Feliu de Llobregat,8211
INST.CAN PUIG,Públic,"C. Joan Maragall, s/n",8810,Garraf,17,Sant Pere de Ribes,8231
INST.SANT JUST DESVERN,Públic,"Pg. de la Muntanya, s/n",8960,Baix Llobregat,11,Sant Just Desvern,8221
INST.PONTS,Públic,"Av. Pompeu Fabra, 59",25740,Noguera,23,Ponts,25172
"MONTSENY, CENTRE D'ESTUDIS",Privat,"C. Pallars, 402-416",8019,Barcelonès,13,Barcelona,8019
MESTRAL - SANT FELIU,Privat,"Ctra. Sanson, 81",8980,Baix Llobregat,11,Sant Feliu de Llobregat,8211
ATENEU INSTRUCTIU,Privat,"C. Francesc Macià, 57",8970,Baix Llobregat,11,Sant Joan Despí,8217
